record_id,search_timestamp,travel_date,lead_time_days,source_platform,origin_iata,dest_iata,route,origin_raw,dest_raw,airline_standardized,airline_raw,flight_number,departure_time,arrival_time,duration_minutes,duration_raw,cabin_class,total_fare_inr,base_fare_inr,taxes_fees_inr,is_nonstop,stops,raw_hash
SCR_GF_1789055816_057,2026-09-10 21:26:52,2026-09-17,7,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,Air India,Air India,,5:30,7:35,125,2 hr 5 min,Economy,7678.0,,,True,Non-stop,eb556e23be12
SCR_GF_1789055816_058,2026-09-10 21:26:52,2026-09-17,7,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,Akasa Air,Akasa Air,,9:45,11:45,120,2 hr,Economy,7845.0,,,True,Non-stop,5b6c59a30c82
SCR_GF_1789055816_059,2026-09-10 21:26:52,2026-09-17,7,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,Air India,Air India,,8:45,10:45,120,2 hr,Economy,8072.0,,,True,Non-stop,ea306f47a19a
SCR_GF_1789055816_060,2026-09-10 21:26:52,2026-09-17,7,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,Air India,Air India,,7:55,10:05,130,2 hr 10 min,Economy,8135.0,,,True,Non-stop,b17f91084803
SCR_GF_1789055816_061,2026-09-10 21:26:52,2026-09-17,7,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,IndiGo,IndiGo,,7:55,9:45,110,1 hr 50 min,Economy,8427.0,,,True,Non-stop,bf71b967d523
SCR_GF_1789055816_062,2026-09-10 21:26:52,2026-09-17,7,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,Akasa Air,Akasa Air,,6:25,8:20,115,1 hr 55 min,Economy,8819.0,,,True,Non-stop,45167603ee14
SCR_GF_1789055816_063,2026-09-10 21:26:52,2026-09-17,7,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,Akasa Air,Akasa Air,,7:35,9:35,120,2 hr,Economy,9175.0,,,True,Non-stop,4f7b07db5830
SCR_GF_1789055816_064,2026-09-10 21:26:52,2026-09-17,7,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,Akasa Air,Akasa Air,,7:40,9:45,125,2 hr 5 min,Economy,9934.0,,,True,Non-stop,03e5adba2610
SCR_GF_1789055819_001,2026-09-10 21:26:56,2026-10-10,30,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,IndiGo,IndiGo,,4:30 AM,6:25 AM,115,1 hr 55 min,Economy,4945.0,,,True,Non-stop,856a920bda5b
SCR_GF_1789055819_002,2026-09-10 21:26:56,2026-10-10,30,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,Air India,Air India,,2:05 AM,4:10 AM,125,2 hr 5 min,Economy,4948.0,,,True,Non-stop,c158c35a3ed7
SCR_GF_1789055819_003,2026-09-10 21:26:56,2026-10-10,30,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,Akasa Air,Akasa Air,,8:05 PM,9:45 PM,100,1 hr 40 min,Economy,5400.0,,,True,Non-stop,069bef802af2
SCR_GF_1789055819_005,2026-09-10 21:26:56,2026-10-10,30,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,IndiGo,IndiGo,,1:10 AM,3:05 AM,115,1 hr 55 min,Economy,4945.0,,,True,Non-stop,ded4dcced23b
SCR_GF_1789055819_006,2026-09-10 21:26:56,2026-10-10,30,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,Air India,Air India,,11:30 PM,1:35 AM,125,2 hr 5 min,Economy,4948.0,,,True,Non-stop,0f0735f91530
SCR_GF_1789055819_007,2026-09-10 21:26:56,2026-10-10,30,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,Akasa Air,Akasa Air,,12:40 AM,2:35 AM,115,1 hr 55 min,Economy,5400.0,,,True,Non-stop,4f10e50fc56b
SCR_GF_1789055819_008,2026-09-10 21:26:56,2026-10-10,30,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,Akasa Air,Akasa Air,,9:45 PM,11:35 PM,110,1 hr 50 min,Economy,5400.0,,,True,Non-stop,b36466253aa0
SCR_GF_1789055819_009,2026-09-10 21:26:56,2026-10-10,30,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,IndiGo,IndiGo,,6:15 AM,8:00 AM,105,1 hr 45 min,Economy,6957.0,,,True,Non-stop,1278b2d4c14f
SCR_GF_1789055819_010,2026-09-10 21:26:56,2026-10-10,30,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,IndiGo,IndiGo,,9:30 PM,11:25 PM,115,1 hr 55 min,Economy,6957.0,,,True,Non-stop,1a590de5951f
SCR_GF_1789055819_011,2026-09-10 21:26:56,2026-10-10,30,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,IndiGo,IndiGo,,10:20 PM,12:20 AM,120,2 hr,Economy,6957.0,,,True,Non-stop,daee4b88e872
